objectid,element,dimensiontype,dimension,unitname
582,sheet,width,9.8000000000,centimeters
583,sheet,height,27.8000000000,centimeters
583,sheet,width,42.2000000000,centimeters
584,sheet,height,27.0000000000,centimeters
584,sheet,width,40.4000000000,centimeters
585,sheet,height,28.8000000000,centimeters
585,sheet,width,38.1000000000,centimeters
586,sheet,height,44.0000000000,centimeters
586,sheet,width,35.3000000000,centimeters
587,sheet,height,32.8000000000,centimeters
587,sheet,width,22.4000000000,centimeters
588,sheet,height,23.9000000000,centimeters
588,sheet,width,33.6000000000,centimeters
589,sheet,height,22.0000000000,centimeters
589,sheet,width,31.4000000000,centimeters
592,sheet,height,14.3000000000,centimeters
592,sheet,width,20.9000000000,centimeters
593,sheet,height,15.8000000000,centimeters
593,sheet,width,10.5000000000,centimeters
594,sheet,height,42.8000000000,centimeters
594,sheet,width,61.8000000000,centimeters
595,sheet,height,28.9000000000,centimeters
595,sheet,width,20.5000000000,centimeters
596,sheet,height,15.1000000000,centimeters
596,sheet,width,10.5000000000,centimeters
598,sheet,height,24.8000000000,centimeters
598,sheet,width,19.0000000000,centimeters
599,sheet,height,21.9000000000,centimeters
599,sheet,width,32.0000000000,centimeters
600,sheet,height,40.3000000000,centimeters
600,sheet,width,30.2000000000,centimeters
601,sheet,height,39.3000000000,centimeters
601,sheet,width,28.4000000000,centimeters
602,image/block,height,39.7000000000,centimeters
602,image/block,width,28.2000000000,centimeters
603,image/block,height,21.3000000000,centimeters
603,image/block,width,30.3000000000,centimeters
604,sheet,height,38.5000000000,centimeters
604,sheet,width,28.0000000000,centimeters
605,sheet,height,44.3000000000,centimeters
605,sheet,width,30.0000000000,centimeters
606,image/block,height,29.5000000000,centimeters
606,image/block,width,21.0000000000,centimeters
607,sheet,height,29.8000000000,centimeters
607,sheet,width,21.0000000000,centimeters
612,sheet,height,29.9000000000,centimeters
612,sheet,width,21.4000000000,centimeters
618,sheet,height,38.5000000000,centimeters
618,sheet,width,27.7000000000,centimeters
620,sheet,height,25.6000000000,centimeters
620,sheet,width,16.8000000000,centimeters
622,sheet,height,16.6000000000,centimeters
622,sheet,width,11.8000000000,centimeters
625,sheet,height,16.4000000000,centimeters
625,sheet,width,11.5000000000,centimeters
627,sheet,height,16.3000000000,centimeters
627,sheet,width,11.3000000000,centimeters
628,sheet,height,16.5000000000,centimeters
628,sheet,width,11.8000000000,centimeters
631,sheet,height,16.2000000000,centimeters
631,sheet,width,15.9000000000,centimeters
632,sheet,height,25.7000000000,centimeters
632,sheet,width,17.0000000000,centimeters
634,sheet,height,16.2000000000,centimeters
634,sheet,width,11.4000000000,centimeters
636,sheet,height,31.6000000000,centimeters
636,sheet,width,25.8000000000,centimeters
637,sheet,height,31.0000000000,centimeters
637,sheet,width,22.2000000000,centimeters
638,sheet,height,16.0000000000,centimeters
